question_id,correct,verdict,sentences,PS,PG,FR,AC,UM,RC,SC,FAE
bird_92,True,harness改写,12,2,1,3,1,2,2,1,0
bird_93,False,模型,4,1,1,1,1,0,0,0,0
bird_87,False,评测口径,130,10,21,20,17,22,28,10,2
bird_95,True,题面歧义,76,7,13,8,7,13,16,10,2
bird_94,False,题面歧义,97,6,14,12,11,22,21,8,3
bird_98,True,(答对或未判读),20,2,3,3,2,2,3,4,1
bird_99,True,(答对或未判读),34,3,7,4,1,4,8,6,1
bird_112,True,(答对或未判读),4,0,2,1,0,0,0,1,0
bird_100,True,(答对或未判读),19,3,5,4,0,2,3,2,0
bird_115,False,gold,40,3,7,6,4,3,7,7,3
bird_117,True,(答对或未判读),12,1,3,3,1,1,1,2,0
bird_116,True,(答对或未判读),14,3,4,1,1,3,1,0,1
bird_128,False,gold,28,3,5,6,0,3,6,5,0
bird_125,False,gold,24,3,5,3,5,3,3,1,1
bird_118,False,模型,54,5,12,9,5,9,6,6,2
bird_136,True,(答对或未判读),8,1,2,3,0,0,0,2,0
bird_137,True,(答对或未判读),9,1,1,2,1,1,2,1,0
bird_138,True,(答对或未判读),24,1,9,3,2,2,5,2,0
bird_129,False,gold,26,3,5,4,1,4,5,3,1
bird_149,True,(答对或未判读),16,1,5,5,0,1,1,2,1
bird_145,False,题面歧义,71,5,14,13,5,10,19,4,0
bird_168,False,gold,27,2,2,8,2,6,6,1,0
bird_152,False,gold,80,12,18,16,3,3,20,5,3
bird_186,False,gold,10,2,3,1,1,0,2,1,0
bird_192,True,(答对或未判读),20,2,4,4,2,5,1,1,1
bird_159,False,题面歧义,146,14,19,22,7,38,28,14,3
bird_194,False,题面歧义,143,9,25,21,17,29,23,19,0
